"Date","BGN","CAD","CNY","EUR","GBP","HRK","ILS","SGD","USD"
"2019-01-21",0.0240582808,0.0185952632,0.0950668813,0.0123000748,0.0108481458,0.091363854,0.0516867436,0.0190068039,0.013983714
"2019-01-22",0.0241590621,0.0187514063,0.0955638413,0.0123526159,0.0108334191,0.0917194577,0.0516553603,0.0190882882,0.0140367445
"2019-01-23",0.0241385217,0.0187474278,0.0954367498,0.012341148,0.0107411588,0.0917754766,0.0516214662,0.0190845117,0.0140510161
"2019-01-24",0.0243606394,0.0188049438,0.0956145553,0.0124520764,0.0107351994,0.0925730493,0.0517432076,0.0191626852,0.0140843067
"2019-01-25",0.0241588346,0.0186230983,0.0950729186,0.0123569367,0.0106708305,0.0916649245,0.0516762169,0.0190733277,0.0140872769
"2019-01-26",0.0242148147,0.0186451591,0.0951663598,0.0123715746,0.0106854456,0.0917664581,0.0517378553,0.0190959218,0.0141039646
"2019-01-27",0.0241861072,0.0186284401,0.0950535467,0.0123437346,0.0106659537,0.0916564276,0.0516755129,0.0190617612,0.0140871618
"2019-01-28",0.0240717626,0.0186514564,0.09487118,0.0123068333,0.0106877315,0.091387692,0.0517309495,0.0190319003,0.0140644701
"2019-01-29",0.0238750233,0.0185271811,0.093991083,0.012207905,0.0106736285,0.090642365,0.0513356553,0.0188765846,0.0139593896
"2019-01-30",0.0239409392,0.0184778665,0.0944249807,0.0122408819,0.0107182226,0.0908575351,0.0515045732,0.0189343409,0.0140583447
"2019-01-31",0.023996541,0.0184334282,0.0940988399,0.0122677478,0.0107125309,0.0910341849,0.0510216476,0.0189014678,0.0140425909
"2019-02-01",0.0238990382,0.0183351247,0.0943851645,0.0122135745,0.010689414,0.0905462168,0.0509037704,0.0188923417,0.0139933943
"2019-02-02",0.0238991921,0.0183352427,0.0943870315,0.0122136531,0.0106897626,0.0905466597,0.050904238,0.0188923234,0.0139934844
"2019-02-03",0.0238989909,0.0183337216,0.0943828857,0.0122164173,0.0107012245,0.0905460669,0.0509039312,0.0188984906,0.0139932846
